"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
698,"1813301 IN EBT PUTNAM CO DPW",199.0,2411.0,178.0,1036.0,"Indiana"
699,"1813501 IN EBT RANDOLPH CO DPW",205.0,2355.0,178.0,958.0,"Indiana"
700,"1813701 IN EBT RIPLEY CO DPW",163.0,1691.0,148.0,716.0,"Indiana"
701,"1813901 IN EBT RUSH CO DPW",138.0,1188.0,125.0,501.0,"Indiana"
702,"1814101 IN EBT ST JOSEPH CO DPW",2484.0,25479.0,2103.0,10688.0,"Indiana"
703,"1814301 IN EBT SCOTT CO DPW",344.0,2644.0,295.0,1202.0,"Indiana"
704,"1814501 IN EBT SHELBY CO DPW",302.0,3251.0,263.0,1507.0,"Indiana"
705,"1814701 IN EBT SPENCER CO DPW",98.0,1194.0,87.0,550.0,"Indiana"
706,"1814901 IN EBT STARKE CO DPW",242.0,2350.0,208.0,983.0,"Indiana"
707,"1815101 IN EBT STEUBEN CO DPW",190.0,1798.0,166.0,751.0,"Indiana"
708,"1815301 IN EBT SULLIVAN CO DPW",215.0,1832.0,178.0,777.0,"Indiana"
709,"1815501 IN EBT SWITZERLAND CO DPW",105.0,943.0,80.0,384.0,"Indiana"
710,"1815701 IN EBT TIPPECANOE CO DPW",1174.0,13202.0,937.0,5629.0,"Indiana"
711,"1815901 IN EBT TIPTON CO DPW",66.0,718.0,53.0,293.0,"Indiana"
712,"1816101 IN EBT UNION CO DPW",58.0,486.0,48.0,211.0,"Indiana"
713,"1816301 IN EBT VANDERBURGH CO DPW",2168.0,17154.0,1813.0,7957.0,"Indiana"
714,"1816501 IN EBT VERMILLION CO DPW",151.0,1572.0,121.0,658.0,"Indiana"
715,"1816701 IN EBT VIGO CO DPW",1463.0,12858.0,1230.0,5539.0,"Indiana"
716,"1816901 IN EBT WABASH CO DPW",222.0,2078.0,191.0,911.0,"Indiana"
717,"1817101 IN EBT WARREN CO DPW",52.0,427.0,46.0,169.0,"Indiana"
718,"1817301 IN EBT WARRICK CO DPW",254.0,2321.0,212.0,990.0,"Indiana"
719,"1817501 IN EBT WASHINGTON CO DPW",237.0,1608.0,214.0,683.0,"Indiana"
720,"1817701 IN EBT WAYNE CO DPW",1037.0,7701.0,891.0,3553.0,"Indiana"
721,"1817901 IN EBT WELLS CO DPW",161.0,1376.0,138.0,584.0,"Indiana"
722,"1818101 IN EBT WHITE CO DPW",162.0,1603.0,127.0,647.0,"Indiana"
723,"1818301 IN EBT WHITLEY CO DPW",115.0,1365.0,112.0,630.0,"Indiana"
632,"1800101 IN EBT ADAMS CO DFC",203.0,1722.0,158.0,728.0,"Indiana"
633,"1800301 IN EBT ALLEN CO DFC",3728.0,36316.0,3007.0,13955.0,"Indiana"
634,"1800501 IN EBT BARTHOLOMEW CO DFC",522.0,5241.0,457.0,2226.0,"Indiana"
635,"1800701 IN EBT BENTON CO DFC",62.0,766.0,54.0,305.0,"Indiana"
636,"1800901 IN EBT BLACKFORD CO DFC",138.0,1314.0,119.0,573.0,"Indiana"
637,"1801101 IN EBT BOONE CO DFC",178.0,1932.0,160.0,882.0,"Indiana"
638,"1801301 IN EBT BROWN CO DFC",79.0,698.0,68.0,303.0,"Indiana"
639,"1801501 IN EBT CARROLL CO DPW",82.0,1042.0,71.0,422.0,"Indiana"
640,"1801701 IN EBT CASS CO DPW",364.0,3670.0,290.0,1507.0,"Indiana"
