"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
757,"1906701 IA EBT FLOYD CO DHS",179.0,1360.0,126.0,620.0,"Iowa"
758,"1906901 IA EBT FRANKLIN CO DHS",72.0,662.0,57.0,300.0,"Iowa"
759,"1907101 IA EBT FREMONT CO DHS",66.0,617.0,56.0,275.0,"Iowa"
760,"1907301 IA EBT GREENE CO DHS",90.0,774.0,74.0,352.0,"Iowa"
761,"1907501 IA EBT GRUNDY CO DHS",53.0,503.0,38.0,215.0,"Iowa"
762,"1907701 IA EBT GUTHRIE CO DHS",83.0,723.0,46.0,329.0,"Iowa"
763,"1907901 IA EBT HAMILTON CO DHS",113.0,812.0,87.0,377.0,"Iowa"
764,"1908101 IA EBT HANCOCK CO DHS",58.0,601.0,38.0,263.0,"Iowa"
765,"1908301 IA EBT HARDIN CO DHS",155.0,1349.0,104.0,599.0,"Iowa"
766,"1908501 IA EBT HARRISON CO DHS",146.0,1016.0,112.0,453.0,"Iowa"
767,"1908701 IA EBT HENRY CO DHS",223.0,1696.0,158.0,758.0,"Iowa"
768,"1908901 IA EBT HOWARD CO DHS",58.0,493.0,46.0,224.0,"Iowa"
769,"1909101 IA EBT HUMBOLDT CO DHS",85.0,584.0,56.0,266.0,"Iowa"
770,"1909301 IA EBT IDA CO DHS",34.0,477.0,27.0,205.0,"Iowa"
771,"1909501 IA EBT IOWA CO DHS",87.0,738.0,73.0,344.0,"Iowa"
772,"1909701 IA EBT JACKSON CO DHS",208.0,1426.0,146.0,662.0,"Iowa"
773,"1909901 IA EBT JASPER CO DHS",415.0,2742.0,317.0,1294.0,"Iowa"
774,"1910101 IA EBT JEFFERSON CO DHS",275.0,1395.0,211.0,744.0,"Iowa"
775,"1910301 IA EBT JOHNSON CO DHS",1210.0,8230.0,876.0,3614.0,"Iowa"
776,"1910501 IA EBT JONES CO DHS",181.0,1231.0,138.0,570.0,"Iowa"
777,"1910701 IA EBT KEOKUK CO DHS",127.0,882.0,94.0,369.0,"Iowa"
778,"1910901 IA EBT KOSSUTH CO DHS",90.0,771.0,73.0,372.0,"Iowa"
779,"1911102 IA EBT LEE CO DHS",625.0,3958.0,465.0,1834.0,"Iowa"
780,"1911301 IA EBT LINN CO DHS",2812.0,18316.0,2069.0,8487.0,"Iowa"
781,"1911501 IA EBT LOUISA CO DHS",88.0,712.0,71.0,288.0,"Iowa"
782,"1911701 IA EBT LUCAS CO DHS",106.0,780.0,89.0,330.0,"Iowa"
783,"1911901 IA EBT LYON CO DHS",19.0,406.0,15.0,171.0,"Iowa"
784,"1912101 IA EBT MADISON CO DHS",71.0,636.0,59.0,309.0,"Iowa"
785,"1912301 IA EBT MAHASKA CO DHS",276.0,1783.0,206.0,859.0,"Iowa"
786,"1912501 IA EBT MARION CO DHS",224.0,1748.0,180.0,795.0,"Iowa"
787,"1912701 IA EBT MARSHALL CO DHS",448.0,3476.0,321.0,1492.0,"Iowa"
788,"1912901 IA EBT MILLS CO DHS",96.0,929.0,67.0,408.0,"Iowa"
789,"1913101 IA EBT MITCHELL CO DHS",69.0,467.0,48.0,209.0,"Iowa"
790,"1913301 IA EBT MONONA CO DHS",90.0,748.0,76.0,319.0,"Iowa"
791,"1913501 IA EBT MONROE CO DHS",72.0,566.0,50.0,260.0,"Iowa"
792,"1913701 IA EBT MONTGOMERY CO DHS",171.0,1137.0,125.0,526.0,"Iowa"
793,"1913901 IA EBT MUSCATINE CO DHS",649.0,4090.0,463.0,1810.0,"Iowa"
794,"1914101 IA EBT O BRIEN CO DHS",83.0,667.0,67.0,324.0,"Iowa"
795,"1914301 IA EBT OSCEOLA CO DHS",35.0,312.0,28.0,148.0,"Iowa"
796,"1914501 IA EBT PAGE CO DHS",200.0,1325.0,156.0,575.0,"Iowa"
797,"1914701 IA EBT PALO ALTO CO DHS",80.0,523.0,50.0,246.0,"Iowa"
798,"1914901 IA EBT PLYMOUTH CO DHS",107.0,954.0,82.0,424.0,"Iowa"
799,"1915101 IA EBT POCAHONTAS CO DHS",68.0,501.0,50.0,212.0,"Iowa"
800,"1915301 IA EBT POLK CO DHS",6377.0,46656.0,4644.0,21096.0,"Iowa"
801,"1915501 IA EBT POTTAWATTAMIE CO DHS",1627.0,9828.0,1179.0,4800.0,"Iowa"
802,"1915701 IA EBT POWESHIEK CO DHS",147.0,948.0,110.0,467.0,"Iowa"
803,"1915901 IA EBT RINGGOLD CO DHS",50.0,334.0,46.0,161.0,"Iowa"
804,"1916101 IA EBT SAC CO DHS",47.0,517.0,38.0,222.0,"Iowa"
805,"1916301 IA EBT SCOTT CO DHS",3161.0,18554.0,2215.0,8660.0,"Iowa"
806,"1916501 IA EBT SHELBY CO DHS",96.0,756.0,80.0,328.0,"Iowa"
807,"1916701 IA EBT SIOUX CO DHS",90.0,959.0,68.0,398.0,"Iowa"
808,"1916901 IA EBT STORY CO DHS",492.0,3652.0,362.0,1759.0,"Iowa"
809,"1917101 IA EBT TAMA CO DHS",148.0,1097.0,94.0,488.0,"Iowa"
810,"1917301 IA EBT TAYLOR CO DHS",73.0,463.0,54.0,209.0,"Iowa"
811,"1917501 IA EBT UNION CO DHS",182.0,1157.0,136.0,563.0,"Iowa"
812,"1917701 IA EBT VAN BUREN CO DHS",74.0,576.0,59.0,246.0,"Iowa"
813,"1917901 IA EBT WAPELLO CO DHS",801.0,4230.0,600.0,2045.0,"Iowa"
814,"1918101 IA EBT WARREN CO DHS",229.0,1991.0,179.0,929.0,"Iowa"
815,"1918301 IA EBT WASHINGTON CO DHS",171.0,1313.0,137.0,588.0,"Iowa"
816,"1918501 IA EBT WAYNE CO DHS",89.0,459.0,60.0,204.0,"Iowa"
817,"1918701 IA EBT WEBSTER CO DHS",637.0,3960.0,445.0,1900.0,"Iowa"
818,"1918901 IA EBT WINNEBAGO CO DHS",70.0,609.0,49.0,284.0,"Iowa"
819,"1919101 IA EBT WINNESHIEK CO DHS",73.0,669.0,66.0,314.0,"Iowa"
820,"1919301 IA EBT WOODBURY CO DHS",1538.0,11149.0,987.0,4868.0,"Iowa"
821,"1919501 IA EBT WORTH CO DHS",49.0,434.0,37.0,193.0,"Iowa"
822,"1919701 IA EBT WRIGHT CO DHS",96.0,1009.0,74.0,441.0,"Iowa"
724,"1900101 IA EBT ADAIR CO DHS",62.0,425.0,48.0,215.0,"Iowa"
725,"1900301 IA EBT ADAMS CO DHS",44.0,259.0,32.0,120.0,"Iowa"
726,"1900501 IA EBT ALLAMAKEE CO DHS",79.0,814.0,70.0,325.0,"Iowa"
727,"1900701 IA EBT APPANOOSE CO DHS",226.0,1281.0,190.0,604.0,"Iowa"
728,"1900901 IA EBT AUDUBON CO DHS",38.0,389.0,29.0,187.0,"Iowa"
729,"1901101 IA EBT BENTON CO DHS",223.0,1379.0,166.0,641.0,"Iowa"
730,"1901301 IA EBT BLACK HAWK CO DHS",2853.0,12355.0,1898.0,5950.0,"Iowa"
731,"1901501 IA EBT BOONE CO DHS",202.0,1388.0,151.0,634.0,"Iowa"
732,"1901701 IA EBT BREMER CO DHS",124.0,882.0,94.0,409.0,"Iowa"
733,"1901901 IA EBT BUCHANAN CO DHS",205.0,1018.0,159.0,486.0,"Iowa"
734,"1902101 IA EBT BUENA VISTA CO DHS",165.0,1406.0,117.0,555.0,"Iowa"
735,"1902301 IA EBT BUTLER CO DHS",109.0,780.0,81.0,343.0,"Iowa"
736,"1902501 IA EBT CALHOUN CO DHS",105.0,569.0,68.0,264.0,"Iowa"
